state	0.030722122990558817
econom	0.025057412605256443
includ	0.024598111763204897
countri	0.021893340137790252
articl	0.01811686654758867
year	0.018065833120694055
edit	0.016892064302117888
inform	0.01495279408012248
gener	0.014748660372544017
portugues	0.014289359530492473
data	0.014289359530492473
unit	0.013983158969124776
develop	0.013166624138810921
system	0.012962490431232458
popul	0.012962490431232458
1	0.012911457004337842
form	0.012860423577443224
time	0.012758356723653993
base	0.012503189589180914
product	0.011992855320234754
number	0.010461852513396274
larg	0.01015565195202858
centuri	0.010104618525133963
part	0.010053585098239348
utc	0.009798417963766267
2	0.00887981627966318
model	0.008777749425873947
theori	0.0086246491451901
5	0.007501913753508548
american	0.007144679765246236
method	0.007042612911457005
public	0.006940546057667772
languag	0.006685378923194692
term	0.006481245215616229
british	0.0061240112273539165
human	0.006072977800459301
4	0.006021944373564685
statist	0.006021944373564685
3	0.005868844092880837
european	0.005868844092880837
natur	0.005766777239091605
6	0.005409543250829293
univers	0.0053585098239346774
site	0.005205409543250829
relat	0.005154376116356213
origin	0.005154376116356213
field	0.0051033426894615975
dai	0.0048481755549885175
â·	0.004797142128093902
8	0.004746108701199286
growth	0.004695075274304669
cultur	0.004695075274304669
refer	0.004541974993620822
7	0.004541974993620822
strand	0.004541974993620822
continu	0.004541974993620822
9	0.004490941566726206
10	0.004388874712936973
sequenc	0.004337841286042358
citat	0.004286807859147742
modern	0.004286807859147742
histori	0.004235774432253126
period	0.004235774432253126
user	0.004082674151569278
activ	0.004031640724674662
13	0.00392957387088543
english	0.003878540443990814
common	0.003827507017096198
social	0.003776473590201582
small	0.003776473590201582
antarct	0.003776473590201582
resourc	0.003776473590201582
program	0.003776473590201582
rang	0.0036744067364123502
set	0.003623373309517734
imag	0.003623373309517734
posit	0.003572339882623118
content	0.003470273028833886
capit	0.003470273028833886
water	0.0034192396019392703
influenc	0.0033682061750446544
involv	0.0033682061750446544
applic	0.003317172748150038
15	0.003317172748150038
establish	0.003215105894360806
web	0.0031130390405715745
12	0.0030620056136769582
compar	0.0030620056136769582
11	0.0030109721867823424
reuter	0.0029599387598877266
page	0.0029599387598877266
publish	0.0029089053329931103
train	0.0029089053329931103
northern	0.0028578719060984945
requir	0.0028578719060984945
individu	0.0028068384792038787
claim	0.0027047716254146466
appli	0.0027047716254146466
consist	0.002653738198520031
similar	0.002653738198520031
list	0.002653738198520031
18	0.002653738198520031
total	0.002653738198520031
media	0.002653738198520031
error	0.0026027047716254146
act	0.002398571064046951
start	0.002398571064046951
plan	0.0023475376371523346
standard	0.0023475376371523346
republ	0.0022965042102577188
algorithm	0.0022965042102577188
suggest	0.0022965042102577188
prose	0.0021944373564684867
network	0.0021944373564684867
link	0.002143403929573871
separ	0.002143403929573871
date	0.002092370502679255
show	0.002041337075784639
doubl	0.002041337075784639
nativ	0.002041337075784639
spanish	0.002041337075784639
design	0.002041337075784639
17	0.002041337075784639
depend	0.001990303648890023
german	0.001990303648890023
quantiti	0.001990303648890023
legal	0.001990303648890023
0	0.001990303648890023
optim	0.001990303648890023
practic	0.001990303648890023
empir	0.001939270221995407
mugab	0.001939270221995407
space	0.001888236795100791
ad	0.0018372033682061751
read	0.0018372033682061751
topic	0.0018372033682061751
reliabl	0.0018372033682061751
europ	0.001786169941311559
special	0.001786169941311559
check	0.001786169941311559
fa	0.001786169941311559
shona	0.001735136514416943
western	0.001735136514416943
real	0.001735136514416943
mile	0.001735136514416943
event	0.001735136514416943
mention	0.001735136514416943
britannica	0.001735136514416943
minor	0.0016841030875223272
winter	0.0016330696606277112
indian	0.0016330696606277112
16	0.0016330696606277112
accuraci	0.0016330696606277112
decemb	0.0016330696606277112
appoint	0.0015820362337330952
object	0.0015820362337330952
websit	0.0015310028068384791
lack	0.0014799693799438633
note	0.0014799693799438633
19	0.0014799693799438633
divid	0.0014289359530492473
16th	0.0014289359530492473
23	0.0014289359530492473
30	0.0014289359530492473
leagu	0.0014289359530492473
newspap	0.0014289359530492473
programm	0.0014289359530492473
access	0.0014289359530492473
word	0.0013779025261546312
roman	0.0013268690992600154
full	0.0013268690992600154
pair	0.0012758356723653994
releas	0.0012758356723653994
canadian	0.0012758356723653994
divers	0.0012758356723653994
post	0.0012248022454707833
construct	0.0012248022454707833
fault	0.0012248022454707833
written	0.0012248022454707833
footbal	0.0012248022454707833
kingston	0.0012248022454707833
24	0.0011737688185761673
ancient	0.0011737688185761673
campaign	0.0011737688185761673
heritag	0.0011737688185761673
zambian	0.0011227353916815515
athlet	0.0011227353916815515
2000	0.0011227353916815515
question	0.0011227353916815515
close	0.0011227353916815515
employ	0.0010717019647869354
fundament	0.0010717019647869354
numer	0.0010717019647869354
00	0.0010717019647869354
macroeconom	0.0010717019647869354
express	0.0010717019647869354
onlin	0.0010717019647869354
1990	0.0010206685378923194
hydrogen	0.0010206685378923194
disput	0.0010206685378923194
aggreg	0.0010206685378923194
tropic	9.696351109977035E-4
divis	9.696351109977035E-4
cycl	9.696351109977035E-4
todai	9.696351109977035E-4
ve	9.696351109977035E-4
copyedit	9.696351109977035E-4
write	9.696351109977035E-4
emploi	9.696351109977035E-4
2005	9.696351109977035E-4
extern	9.186016841030876E-4
arm	9.186016841030876E-4
bui	9.186016841030876E-4
reflect	9.186016841030876E-4
speak	9.186016841030876E-4
reduc	9.186016841030876E-4
ga	9.186016841030876E-4
archaean	9.186016841030876E-4
press	9.186016841030876E-4
classif	9.186016841030876E-4
mechan	8.675682572084715E-4
hope	8.675682572084715E-4
formal	8.675682572084715E-4
prize	8.675682572084715E-4
